,id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,preview_url
122,2CKjPJ59ihAjVro074hFmW,HipHop,0.689,0.714,8,-7.51,1,0.347,0.129,0.0,0.0542,0.415,132.984,145301,4,https://p.scdn.co/mp3-preview/e2ff5a189c8932b967e8634546ceff076ac943ad?cid=b1b7bb35faa34eac9690da4b561aa86f
123,1a73gcEg6h6Re6hHXoVltJ,HipHop,0.928,0.458,11,-6.751,1,0.187,0.0175,0.000446,0.118,0.242,144.995,172138,4,
124,5y0ZkrwaaXuTrW3Sbo4UI3,HipHop,0.728,0.601,5,-4.768,1,0.121,0.379,0.0,0.11,0.306,144.046,180400,4,https://p.scdn.co/mp3-preview/d84c5d824a3e9bdcc737f4c2392019e6c41811bb?cid=b1b7bb35faa34eac9690da4b561aa86f
125,58UHOOryzm04eyyhpS8qSQ,HipHop,0.815,0.733,0,-3.811,1,0.214,0.00484,0.0,0.0659,0.557,145.01,142968,4,https://p.scdn.co/mp3-preview/f09479e8e492c2b9152fe98cb33146a50c553467?cid=b1b7bb35faa34eac9690da4b561aa86f
126,2ut4BOQSqxLpcX5MtPjzYa,HipHop,0.56,0.784,1,-5.304,1,0.301,0.0508,0.0,0.221,0.25,78.161,227692,4,
127,4LWW14lPMoe8EzdlVNquDM,HipHop,0.68,0.764,11,-7.414,1,0.262,0.184,0.0,0.176,0.467,163.921,155122,4,https://p.scdn.co/mp3-preview/e4b775f3a5a0cf4b373e059ddd5125ffffa551e4?cid=b1b7bb35faa34eac9690da4b561aa86f
128,6Hn4RAq9DerZedTzgyCgvC,HipHop,0.722,0.625,5,-7.06,0,0.214,0.0675,0.000576,0.143,0.361,83.088,147470,4,
129,5ta1fZrCY7b98YNJqNN3H8,HipHop,0.502,0.623,1,-6.461,1,0.164,0.163,0.0,0.0806,0.361,94.968,156920,4,https://p.scdn.co/mp3-preview/8fe8bc8df3d72e1d2b81f45c3a75ca050e16df94?cid=b1b7bb35faa34eac9690da4b561aa86f
130,2MFQGJmG9JH3A93AxSQGKW,HipHop,0.648,0.619,0,-6.534,0,0.268,0.0238,0.0,0.148,0.413,74.952,192000,4,https://p.scdn.co/mp3-preview/dbfdfffbc3f89512f6ad3628e5ea7c17ad23fd2d?cid=b1b7bb35faa34eac9690da4b561aa86f
131,6vyM1yoPhhdezAcW8CmCJq,HipHop,0.787,0.601,3,-5.892,1,0.226,0.071,0.0,0.139,0.698,142.945,264179,4,https://p.scdn.co/mp3-preview/27aa1ae27b3f6ac80bfa891bdf63f5b93c851c7e?cid=b1b7bb35faa34eac9690da4b561aa86f
132,0oqnZWNBvobs1t181f45Ck,HipHop,0.525,0.552,1,-6.575,1,0.0709,0.0332,0.0,0.378,0.148,144.382,199547,4,https://p.scdn.co/mp3-preview/339099376708d6264b2f1530ba909fe5c7f82cc4?cid=b1b7bb35faa34eac9690da4b561aa86f
133,1esBqSSIPYQfmyO7CSl9XP,HipHop,0.758,0.547,8,-9.193,1,0.124,0.0516,5.31e-05,0.336,0.334,150.049,192023,4,https://p.scdn.co/mp3-preview/c43118e4b3289a9aea6a9a46a55df727e97aceb3?cid=b1b7bb35faa34eac9690da4b561aa86f
134,5FDc4ljIWyW8wClzt54dhs,HipHop,0.738,0.776,10,-4.884,0,0.231,0.0202,1.3e-06,0.111,0.456,175.912,199598,4,
135,2Dw5BoAmPzp23Yy8mLmuYh,HipHop,0.87,0.559,1,-10.243,1,0.321,0.00337,3.87e-05,0.0971,0.376,140.007,164571,4,
136,4PKh6tJP16etcy2eKyMODe,HipHop,0.879,0.547,1,-5.632,1,0.0739,0.0136,0.0,0.0793,0.193,148.022,166128,4,https://p.scdn.co/mp3-preview/8a14e29a7ddda50cd2adc24d980694a32c2e8aae?cid=b1b7bb35faa34eac9690da4b561aa86f
137,4kPQ9NQTg6rqZNJ0t3lDaI,HipHop,0.756,0.57,3,-7.136,0,0.316,0.314,0.0,0.116,0.314,77.374,297290,4,
138,07DzN4K6A7nP9ObnBRQAcO,HipHop,0.792,0.8,4,-4.653,0,0.328,0.223,0.0,0.156,0.935,96.869,140464,4,https://p.scdn.co/mp3-preview/4d6b8c5f1b3f06ba42ac1fa85dd2cc356c8e194a?cid=b1b7bb35faa34eac9690da4b561aa86f
