,Unnamed: 0,id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,preview_url
74,74,0Oqv5IaZYPBmWzbAzHYRXk,Classical,0.255,0.167,10,-24.51,0,0.0363,0.955,0.927,0.107,0.287,135.099,174510,4,https://p.scdn.co/mp3-preview/1f77b7d513444d01c5cbdfbc845ba40ea957418e?cid=b1b7bb35faa34eac9690da4b561aa86f
75,75,0ki5CEUMlajRzt9R3C23gl,Classical,0.0652,0.0421,0,-24.754,0,0.0444,0.992,0.203,0.0851,0.0311,69.657,232280,4,https://p.scdn.co/mp3-preview/1e75fce1ff3b9ddda3c3444539b3c6263c6faef4?cid=b1b7bb35faa34eac9690da4b561aa86f
76,76,4SJWRyVhrsOks4YYLYtMKg,Classical,0.478,0.169,5,-16.338,1,0.0665,0.981,0.0002,0.1,0.491,182.728,98320,4,https://p.scdn.co/mp3-preview/8519592bad68c6a1eb063a5208b7bc13ece255a6?cid=b1b7bb35faa34eac9690da4b561aa86f
77,77,1czcWhML9PDD8R38DNEDXE,Classical,0.237,0.255,7,-15.748,1,0.0363,0.887,0.619,0.0859,0.121,102.785,505960,4,https://p.scdn.co/mp3-preview/d6b17d67ab0b78dd1e2c1fa02bdd99dbba487217?cid=b1b7bb35faa34eac9690da4b561aa86f
78,78,4QN7ohBKkSqKhOvXF2wysb,Classical,0.51,0.0785,9,-21.779,0,0.0604,0.771,8.74e-05,0.0741,0.429,121.218,349158,3,https://p.scdn.co/mp3-preview/00ecca8cb3bfa6df50a49a53834c97ec55e9aa57?cid=b1b7bb35faa34eac9690da4b561aa86f
79,79,26qB1TYMoTqBrS0jzgHIwd,Classical,0.352,0.136,9,-22.928,0,0.0584,0.883,2.74e-06,0.115,0.268,120.24,117598,4,https://p.scdn.co/mp3-preview/7b531490f7e2ef8f9952309a3cca9189254665ec?cid=b1b7bb35faa34eac9690da4b561aa86f
80,80,1EauYducUZ4nqESZg36IB9,Classical,0.0853,0.136,10,-19.408,1,0.0459,0.754,0.945,0.0787,0.0299,168.935,284347,3,https://p.scdn.co/mp3-preview/ef4657b66c58c6011e86d6482ffd9dcebb6a914f?cid=b1b7bb35faa34eac9690da4b561aa86f
81,81,2Us88dLfdTof8jHGjwJpWq,Classical,0.328,0.148,4,-16.738,0,0.043,0.973,0.0522,0.314,0.0879,80.414,123573,4,https://p.scdn.co/mp3-preview/a5b4c5d8603ed36c4595a1f68d96d2213dba5df0?cid=b1b7bb35faa34eac9690da4b561aa86f
82,82,7eQEnLYUE4U2N3LUsHy1Jl,Classical,0.484,0.0658,1,-24.129,0,0.0421,0.983,0.902,0.121,0.155,132.677,131761,4,https://p.scdn.co/mp3-preview/1169d994c164dd7537435cdd6c63e7d28994e5d3?cid=b1b7bb35faa34eac9690da4b561aa86f
83,83,6QD40NXEVvuBF6iobeujpy,Classical,0.471,0.0626,5,-23.716,1,0.0309,0.981,0.907,0.1,0.163,92.335,175968,4,https://p.scdn.co/mp3-preview/67f9016033f2c323ce8bf559a0784d46c6fe547a?cid=b1b7bb35faa34eac9690da4b561aa86f
84,84,0WagYQ1cfJKiaI5dMJxWuO,Classical,0.235,0.176,5,-15.861,0,0.0431,0.872,0.00207,0.121,0.039,78.49,181453,1,https://p.scdn.co/mp3-preview/62ce417806d6800ddd071b5b57cde8b200597c58?cid=b1b7bb35faa34eac9690da4b561aa86f
85,85,5BPLktfYWbYOn6cBrqwxT9,Classical,0.324,0.0039,8,-36.704,1,0.043,0.816,0.468,0.254,0.0614,67.573,65000,4,https://p.scdn.co/mp3-preview/75c6f76df65921317b7672c2cb92cc99ee2f498f?cid=b1b7bb35faa34eac9690da4b561aa86f
86,86,4vvBdlj7KYjYyZFTeatisj,Classical,0.224,0.246,9,-13.079,0,0.036,0.921,0.0006,0.112,0.0713,135.327,350360,3,https://p.scdn.co/mp3-preview/913f611bc95cf1f158424cd5dbce89c71de7c044?cid=b1b7bb35faa34eac9690da4b561aa86f
87,87,5QTnrRAZNGN52Xf5EwQtjN,Classical,0.311,0.15,9,-17.044,0,0.0574,0.978,0.0798,0.163,0.0998,120.746,188695,5,https://p.scdn.co/mp3-preview/ed34e150d37c99aa07533172b51b908cf34d88a8?cid=b1b7bb35faa34eac9690da4b561aa86f
88,88,6R0nxWyQgBgytg2cHRXxEV,Classical,0.156,0.0438,5,-22.747,1,0.0431,0.818,0.894,0.506,0.0314,90.99,248067,4,https://p.scdn.co/mp3-preview/b834219efadb5cbdac872bc546c46eb3dbbdb955?cid=b1b7bb35faa34eac9690da4b561aa86f
89,89,37dpjlP82kvR8dDOXGHuU2,Classical,0.406,0.176,1,-18.675,1,0.038,0.909,0.566,0.0521,0.132,148.157,399365,4,https://p.scdn.co/mp3-preview/bb97538535dde1f89da049bb86d5a9928289679a?cid=b1b7bb35faa34eac9690da4b561aa86f
90,90,23apzpWIu7wFSeiXJrmMTq,Classical,0.318,0.262,6,-14.252,1,0.0435,0.918,0.0,0.339,0.393,99.302,324293,5,https://p.scdn.co/mp3-preview/59e6c923af42a2d0303c3eecddbceba8b44a69fe?cid=b1b7bb35faa34eac9690da4b561aa86f
91,91,4XUfRdhUi5JFJ8iApD8yGc,Classical,0.216,0.0652,2,-22.556,0,0.0489,0.952,0.163,0.0746,0.0405,94.376,390175,4,https://p.scdn.co/mp3-preview/8bf0ee4b2bf905711b042ecbe4709697e981f878?cid=b1b7bb35faa34eac9690da4b561aa86f
92,92,2L6modSpGmHxkbeNXZu5Ee,Classical,0.267,0.119,7,-21.402,1,0.0482,0.993,0.869,0.0957,0.226,86.404,330081,4,https://p.scdn.co/mp3-preview/77e608d5bafdfd30b9cb81b21e0e023793803ec3?cid=b1b7bb35faa34eac9690da4b561aa86f
93,93,5XGYTNmxDgILngESzEwylu,Classical,0.404,0.283,10,-17.0,1,0.0348,0.977,0.888,0.0863,0.0962,100.5,401013,4,https://p.scdn.co/mp3-preview/d4b1c1c0bc15a2dcdb55eb126eaff6ec7813da48?cid=b1b7bb35faa34eac9690da4b561aa86f
94,94,61dYvvfIRtIDFuqZypPAta,Classical,0.257,0.109,7,-21.356,1,0.0597,0.9,0.867,0.0762,0.307,75.02,151480,4,https://p.scdn.co/mp3-preview/5c5c328aa39d0a292ec2f55bc79832db3635292a?cid=b1b7bb35faa34eac9690da4b561aa86f
102,102,3zLTPuucd3e6TxZnu2dlVS,Classical,0.289,0.0306,9,-30.79,0,0.0446,0.987,0.911,0.102,0.118,125.61,212067,3,https://p.scdn.co/mp3-preview/8602651c0c75b98e27d50337835abe5cd9f95b86?cid=b1b7bb35faa34eac9690da4b561aa86f
107,107,712Pm7DCa8lL8dGZ7LdXQS,Classical,0.123,0.15,2,-16.647,1,0.035,0.714,0.913,0.103,0.0904,84.183,300613,4,https://p.scdn.co/mp3-preview/dcffd0d296c5e40931e20d9a8c24f959aad1ef00?cid=b1b7bb35faa34eac9690da4b561aa86f
111,111,1upQiytDIEZfl9ItruoXuC,Classical,0.0939,0.0336,2,-24.041,0,0.0606,0.927,0.83,0.0954,0.0516,67.359,207267,3,https://p.scdn.co/mp3-preview/ffdf09225ab7d6a8cf2967b12f8f99b640bce365?cid=b1b7bb35faa34eac9690da4b561aa86f
112,112,5fdp9rXfEixCGLM1Og4EN1,Classical,0.376,0.00579,5,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,296480,4,https://p.scdn.co/mp3-preview/4b1ebb0bda01aaaa442629818a2cd22e3f53f9a7?cid=b1b7bb35faa34eac9690da4b561aa86f
116,116,0jOnZhF75V68VsBObWx2XO,Classical,0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,174267,3,https://p.scdn.co/mp3-preview/1b3cb310d4e62e0c5a727500891a931866492103?cid=b1b7bb35faa34eac9690da4b561aa86f
151,151,0cqcRqZgkNHanWQ8slYA0v,Classical,0.0783,0.0523,5,-23.247,1,0.0471,0.896,0.945,0.0806,0.0327,82.015,583293,4,https://p.scdn.co/mp3-preview/32b5439e787a2b770e8bc5941abd47663707d32b?cid=b1b7bb35faa34eac9690da4b561aa86f
155,155,0k6P9cdEA9K3k0ASde2Kof,Classical,0.253,0.098,11,-19.878,0,0.0437,0.93,0.862,0.122,0.062,84.865,640267,4,https://p.scdn.co/mp3-preview/78c7e3817064b3e84792adedd8bcd64a461b5aff?cid=b1b7bb35faa34eac9690da4b561aa86f
156,156,3DNRdudZ2SstnDCVKFdXxG,Classical,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,315427,3,https://p.scdn.co/mp3-preview/4423bbe58e0471b17db02036ac93f9e1696dc663?cid=b1b7bb35faa34eac9690da4b561aa86f
