id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,preview_url,mfcc_1Mean,mfcc_2Mean,mfcc_3Mean,mfcc_4Mean,mfcc_5Mean,mfcc_6Mean,mfcc_7Mean,mfcc_8Mean,mfcc_9Mean,mfcc_10Mean,mfcc_11Mean,mfcc_12Mean,mfcc_13Mean,chroma_1Mean,chroma_2Mean,chroma_3Mean,chroma_4Mean,chroma_5Mean,chroma_6Mean,chroma_7Mean,chroma_8Mean,chroma_9Mean,chroma_10Mean,chroma_11Mean,chroma_12Mean
49Reirkw5q2wzjoVMKVy9l,Metal,0.331,0.988,11,-2.846,1,0.15,1.00E-05,0.524,0.288,0.145,200.107,144698,3,https://p.scdn.co/mp3-preview/994e4a66d2491350ae2cc379fbaa4ef7aaf28043?cid=5fe60eee742d40ef853bb1ae66209140,53.529213,66.91178,-2.5265422,34.058243,5.617584,19.259445,6.9269485,10.141009,6.1681175,2.1322753,3.1654525,12.816284,5.086573,0.7144646,0.7388562,0.7227851,0.62739885,0.5913657,0.58974725,0.5644776,0.5445899,0.5427009,0.5673995,0.661956,0.69858676
3rZBGJWN71h4Wx2OEYQEjk,Metal,0.417,0.947,9,-6.823,1,0.057,0.00131,0,0.0909,0.465,164.993,225000,4,https://p.scdn.co/mp3-preview/f77dc3e62448ba9060ac4b2e555ffc08b8d74b8b?cid=5fe60eee742d40ef853bb1ae66209140,22.126034,90.012344,-9.897521,4.3607764,0.3954752,5.3628573,6.762605,9.479389,3.6914716,8.139404,1.3408921,10.557613,-3.2325573,0.46546644,0.5817787,0.49424592,0.5625803,0.5057203,0.43457228,0.4407199,0.47707257,0.6421287,0.5457265,0.39857823,0.42622393
4h9sfBd1BMojbZ2jQpKaM1,Metal,0.488,0.947,7,-4.55,1,0.0485,1.48E-05,0.887,0.171,0.44,119.982,224419,4,https://p.scdn.co/mp3-preview/aa11089ba400e698295380a5d589e2c7996cbb5e?cid=5fe60eee742d40ef853bb1ae66209140,-31.121958,100.70189,-32.296913,1.7879883,-2.515157,6.7222815,-5.7699747,4.0062,-2.361792,4.504217,-2.0374427,7.4597573,0.3212389,0.6441336,0.52907217,0.53783876,0.6081649,0.5926727,0.48863047,0.50675565,0.58456886,0.5979801,0.6027706,0.5374537,0.6257579
01vTyMhizllanxhjXnNv58,Metal,0.438,0.992,2,-2.38,1,0.0963,0.00019,0.867,0.351,0.0557,75.015,177600,4,https://p.scdn.co/mp3-preview/5096fd23a8f84b88d7769ad764dfc3deddcbac78?cid=5fe60eee742d40ef853bb1ae66209140,62.763832,77.65021,-20.820374,23.628855,3.0099168,16.238497,4.7040534,7.283741,1.9454327,3.7184482,1.8965794,5.967828,0.44095054,0.5998684,0.57813776,0.60931987,0.5789225,0.5876545,0.57799995,0.6024066,0.61283475,0.66587085,0.7093637,0.67285556,0.6175651
4YlioY3Gr6OZDshJYu0gph,Metal,0.439,0.979,9,-5.046,1,0.272,9.89E-05,0.000108,0.402,0.258,162.153,205521,4,https://p.scdn.co/mp3-preview/996c961f4d6d2ec2f5b202a0749c12d5260c20ef?cid=5fe60eee742d40ef853bb1ae66209140,43.80184,65.26637,-4.908935,19.790451,6.0576925,11.630089,2.814705,10.5189295,3.7399337,10.6583,1.2775524,9.430994,-0.99877375,0.5401369,0.5299666,0.59244746,0.589543,0.6368917,0.6713804,0.63600266,0.66263443,0.69133836,0.63410866,0.6318967,0.5533644
09gqLUYwmi2zIWC6Gs7g1f,Metal,0.295,0.987,0,-3.176,1,0.152,5.43E-05,0.000357,0.167,0.0904,180.877,192784,4,https://p.scdn.co/mp3-preview/484f7eda3fa83f25851f7580e8db8b1514a73f0b?cid=5fe60eee742d40ef853bb1ae66209140,52.39912,67.47611,-12.374098,26.832844,1.8579662,22.386988,1.1735861,12.630163,9.767871,10.328859,4.162778,7.7516127,0.21302608,0.6127884,0.644114,0.65018046,0.5782187,0.5153008,0.536679,0.5921466,0.62229633,0.59085405,0.53368855,0.537032,0.6144973
0lh7rfTcCruyIpcx229KuL,Metal,0.415,0.963,1,-3.806,1,0.185,8.31E-05,0.0503,0.311,0.236,199.89,174784,4,https://p.scdn.co/mp3-preview/75e66507f9bf617cb1fd8fd8544baba53482e23b?cid=5fe60eee742d40ef853bb1ae66209140,33.87216,75.83942,-12.371357,15.040909,3.8824239,25.05827,7.534397,13.780497,3.440804,9.537172,3.0020282,10.354063,1.4739943,0.6712085,0.6723985,0.6273069,0.61139846,0.6105887,0.61954683,0.6094823,0.544688,0.5291916,0.55017483,0.54851663,0.55897784
1tx3li6rUmhVhL11zflwMC,Metal,0.458,0.961,6,-6.234,1,0.219,3.36E-05,0.19,0.0555,0.399,145.068,143652,4,https://p.scdn.co/mp3-preview/c7633749fea5863f5e17e3a80d1bb4779e76c8ab?cid=5fe60eee742d40ef853bb1ae66209140,23.53007,69.06853,-21.455257,20.996988,-3.6201332,19.89591,4.8870325,12.2912,2.2153702,8.815926,-0.3014816,5.894245,-5.111383,0.63655007,0.62718284,0.58104074,0.602281,0.5933958,0.62144697,0.6147656,0.6459714,0.69572437,0.71349275,0.6996216,0.63680005
3hvdEpcIYNbJBfsP3WE6VC,Metal,0.217,0.952,11,-4.313,0,0.195,7.93E-05,0.112,0.14,0.0818,150.2,229631,4,https://p.scdn.co/mp3-preview/f58e392ee7312d595ea569cb54fd15b0ec774c8a?cid=5fe60eee742d40ef853bb1ae66209140,50.494957,55.230347,-6.3029523,26.826239,10.683999,20.584522,2.019496,13.012729,8.769655,12.919171,0.17335877,8.025692,-1.4478058,0.60147786,0.48451692,0.4544162,0.47785616,0.6295976,0.66033727,0.612096,0.5810925,0.5586509,0.5683502,0.621738,0.682826
2cdDEISY9GGjJsiTq1H2dY,Metal,0.274,0.968,1,-4.914,1,0.0945,4.28E-05,0.00118,0.268,0.336,169.993,247100,4,https://p.scdn.co/mp3-preview/69eb3408bc5c746d7ce02c5f2341ab0d951d8854?cid=5fe60eee742d40ef853bb1ae66209140,38.21835,68.97414,-12.736966,18.10696,4.600938,15.578621,5.3971243,15.090709,4.867797,7.9252253,3.8920493,9.806498,2.0079446,0.7035563,0.6226322,0.60414183,0.560012,0.54149395,0.55858886,0.5562881,0.59324276,0.6239666,0.65690416,0.6780448,0.6937863
5eMRBqrI5vpdvDRdMHo2Q3,Metal,0.156,0.982,2,-4.098,1,0.101,2.54E-05,0.00825,0.16,0.132,179.941,198708,4,https://p.scdn.co/mp3-preview/871555e782a66137e6b7f9e53453e1a8a8f70195?cid=5fe60eee742d40ef853bb1ae66209140,44.287365,86.49534,-24.325676,23.019827,0.13089132,20.008524,5.494199,9.399472,1.5431855,6.3441153,2.7857797,6.664563,1.4187129,0.6407302,0.60626614,0.6848494,0.7157887,0.6407703,0.66526246,0.6080021,0.67936695,0.6808853,0.67907536,0.64357,0.62508225
13PKaYh1dqVUHUoNXc3oWY,Metal,0.35,0.883,6,-5.247,1,0.0725,2.20E-05,0.00107,0.206,0.339,175.077,186576,4,https://p.scdn.co/mp3-preview/9c052b6a06f4e75675c9e92ee56a653c2afd1484?cid=5fe60eee742d40ef853bb1ae66209140,33.806324,70.855675,-24.519827,28.143347,2.0036793,12.473905,0.63944995,6.574729,6.542885,10.35277,1.6348778,11.396695,-4.4781632,0.42037702,0.50277746,0.48372507,0.397579,0.49220538,0.43899965,0.6152319,0.52210593,0.51978034,0.6299095,0.4710675,0.49766046
171LMymZQ4KYZaP6U7UZXq,Metal,0.204,0.958,0,-6.507,1,0.102,0.000147,0.373,0.106,0.337,165.271,191534,4,https://p.scdn.co/mp3-preview/007d6cae46d391a69f4cb2c463aa046a66500d2d?cid=5fe60eee742d40ef853bb1ae66209140,0.59091455,82.228966,-21.513409,30.635494,1.570218,15.181676,7.823001,14.324942,0.98289824,6.0035043,-4.33657,0.23836479,-2.6453214,0.58045197,0.47763294,0.45101684,0.4648425,0.5190871,0.55954015,0.54688495,0.5803555,0.60720456,0.6325429,0.5966586,0.61234224
2RpZ9Mc9Y8NTN5B70TeHxj,Metal,0.447,0.918,7,-5.725,1,0.1,2.33E-05,0.144,0.0813,0.483,176.093,165170,4,https://p.scdn.co/mp3-preview/e6d8a6dc4209f7ba09bcce124caae1de8de1b52a?cid=5fe60eee742d40ef853bb1ae66209140,18.937809,59.45214,-8.346943,29.924488,8.189912,22.708523,0.9729465,15.8014555,0.18324232,5.2875175,0.33863682,10.597093,1.3730913,0.6621553,0.69336987,0.6789608,0.6405695,0.6155466,0.56436,0.533737,0.6154254,0.6261587,0.61280286,0.629893,0.65828294
6eMHuuhqJybFYwAgNTZzdF,Metal,0.417,0.996,1,-3.715,0,0.177,2.87E-05,0.00163,0.426,0.0311,114.98,270657,4,https://p.scdn.co/mp3-preview/616a0d22906405e6218a5518bd06a7cdf36b4d2e?cid=5fe60eee742d40ef853bb1ae66209140,52.669544,83.73101,-17.469694,24.847107,4.042128,24.552324,3.2124076,10.447615,5.1342597,6.91944,4.0195217,4.5111094,-2.970843,0.48545313,0.49127787,0.543045,0.5400072,0.6341324,0.7308106,0.56035024,0.5184847,0.65319145,0.68597585,0.5566567,0.5070902
0lHLbClbEmIBnOh4aBE6f5,Metal,0.47,0.954,1,-5.591,1,0.141,0.000174,0.00191,0.37,0.229,154.988,179625,4,https://p.scdn.co/mp3-preview/f6e5cb6a91405aac6815a4553e31fb5a4c14585e?cid=5fe60eee742d40ef853bb1ae66209140,31.214275,77.54842,-15.301912,23.342037,5.397288,14.790894,6.327042,13.040848,0.6569747,9.366777,0.6966404,8.784444,2.383064,0.6400266,0.64541924,0.5715785,0.5922989,0.65342796,0.67697245,0.6545849,0.6536278,0.6504215,0.62855446,0.577227,0.5505059
1x8eqdouO1irY79eijZcB0,Metal,0.412,0.913,1,-4.38,1,0.0454,1.03E-05,0.9,0.0789,0.299,130.031,241154,3,https://p.scdn.co/mp3-preview/37fb89effae9f7a6c4e40e7a772514c1dd2049d1?cid=5fe60eee742d40ef853bb1ae66209140,48.772453,75.13747,-27.573963,33.34739,1.5770775,23.206945,9.899385,13.179468,7.3287477,6.0301514,2.4381835,11.652567,-0.8268997,0.53293383,0.67730737,0.64873636,0.59326434,0.5648113,0.5702189,0.7057941,0.7445489,0.7509953,0.6894214,0.56436884,0.55450976
4vE3ZzdHaIrZhFGrLhw2FU,Metal,0.248,0.982,9,-4.354,1,0.154,3.11E-05,0.158,0.375,0.206,149.946,220027,4,https://p.scdn.co/mp3-preview/c289a0df4fcbe989da83485c6580d3a6826d4981?cid=5fe60eee742d40ef853bb1ae66209140,37.337517,65.32257,-9.523571,37.81696,-0.3596468,15.442217,-0.68999195,6.5830145,4.0867205,10.544336,0.002996194,8.459215,1.5145445,0.74002635,0.66115665,0.5898349,0.57056844,0.6360402,0.6311542,0.60055774,0.6053799,0.62916464,0.68422353,0.71632785,0.74411166
